"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2022","1,991.30","1,991.30","1,991.30","1,991.30","","-1.55%"
"06/09/2022","2,022.59","2,022.59","2,022.59","2,022.59","","0.12%"
"06/08/2022","2,020.12","2,020.12","2,020.12","2,020.12","","1.25%"
"06/07/2022","1,995.17","1,995.17","1,995.17","1,995.17","","0.07%"
"06/06/2022","1,993.69","1,993.69","1,993.69","1,993.69","","-0.06%"
"06/03/2022","1,994.94","1,994.94","1,994.94","1,994.94","","0.11%"
"06/02/2022","1,992.67","1,992.67","1,992.67","1,992.67","","-0.98%"
"06/01/2022","2,012.34","2,012.34","2,012.34","2,012.34","","0.54%"
"05/31/2022","2,001.47","2,001.47","2,001.47","2,001.47","","-0.16%"
"05/30/2022","2,004.60","2,004.60","2,004.60","2,004.60","","0.64%"
"05/27/2022","1,991.91","1,991.91","1,991.91","1,991.91","","1.64%"
"05/26/2022","1,959.73","1,959.73","1,959.73","1,959.73","","0.05%"
"05/25/2022","1,958.75","1,958.75","1,958.75","1,958.75","","2.94%"
"05/24/2022","1,902.83","1,902.83","1,902.83","1,902.83","","1.34%"
"05/23/2022","1,877.71","1,877.71","1,877.71","1,877.71","","-1.88%"
"05/20/2022","1,913.68","1,913.68","1,913.68","1,913.68","","-0.09%"
"05/19/2022","1,915.45","1,915.45","1,915.45","1,915.45","","0.34%"
"05/18/2022","1,908.91","1,908.91","1,908.91","1,908.91","","1.08%"
"05/17/2022","1,888.57","1,888.57","1,888.57","1,888.57","","5.08%"
"05/16/2022","1,797.23","1,797.23","1,797.23","1,797.23","","-0.98%"
"05/13/2022","1,814.98","1,814.98","1,814.98","1,814.98","","-4.40%"
"05/12/2022","1,898.48","1,898.48","1,898.48","1,898.48","","-5.14%"
"05/11/2022","2,001.31","2,001.31","2,001.31","2,001.31","","0.36%"
"05/10/2022","1,994.07","1,994.07","1,994.07","1,994.07","","1.85%"
"05/09/2022","1,957.83","1,957.83","1,957.83","1,957.83","","-4.24%"
"05/06/2022","2,044.61","2,044.61","2,044.61","2,044.61","","-2.20%"
"05/05/2022","2,090.58","2,090.58","2,090.58","2,090.58","","0.91%"
"05/04/2022","2,071.72","2,071.72","2,071.72","2,071.72","","-1.81%"
"04/29/2022","2,109.94","2,109.94","2,109.94","2,109.94","","1.42%"
"04/28/2022","2,080.36","2,080.36","2,080.36","2,080.36","","-0.24%"
"04/27/2022","2,085.38","2,085.38","2,085.38","2,085.38","","0.74%"
"04/26/2022","2,070.16","2,070.16","2,070.16","2,070.16","","2.29%"
"04/25/2022","2,023.90","2,023.90","2,023.90","2,023.90","","-5.17%"
"04/22/2022","2,134.31","2,134.31","2,134.31","2,134.31","","0.28%"
"04/21/2022","2,128.26","2,128.26","2,128.26","2,128.26","","-0.81%"
"04/20/2022","2,145.59","2,145.59","2,145.59","2,145.59","","-1.00%"
"04/19/2022","2,167.31","2,167.31","2,167.31","2,167.31","","-1.77%"
"04/18/2022","2,206.43","2,206.43","2,206.43","2,206.43","","-1.74%"
"04/15/2022","2,245.40","2,245.40","2,245.40","2,245.40","","-1.49%"
"04/14/2022","2,279.37","2,279.37","2,279.37","2,279.37","","-0.42%"
"04/13/2022","2,288.88","2,288.88","2,288.88","2,288.88","","1.77%"
"04/12/2022","2,249.07","2,249.07","2,249.07","2,249.07","","-1.58%"
"04/08/2022","2,285.08","2,285.08","2,285.08","2,285.08","","-1.21%"
"04/07/2022","2,313.01","2,313.01","2,313.01","2,313.01","","-1.44%"
"04/06/2022","2,346.74","2,346.74","2,346.74","2,346.74","","0.26%"
"04/05/2022","2,340.61","2,340.61","2,340.61","2,340.61","","-0.36%"
"04/04/2022","2,349.13","2,349.13","2,349.13","2,349.13","","0.46%"
"04/01/2022","2,338.26","2,338.26","2,338.26","2,338.26","","2.04%"
"03/31/2022","2,291.58","2,291.58","2,291.58","2,291.58","","0.16%"
"03/30/2022","2,287.85","2,287.85","2,287.85","2,287.85","","-0.70%"
"03/29/2022","2,303.94","2,303.94","2,303.94","2,303.94","","1.06%"
"03/28/2022","2,279.85","2,279.85","2,279.85","2,279.85","","-0.97%"
"03/25/2022","2,302.17","2,302.17","2,302.17","2,302.17","","0.14%"
"03/24/2022","2,298.99","2,298.99","2,298.99","2,298.99","","-0.34%"
"03/23/2022","2,306.87","2,306.87","2,306.87","2,306.87","","-0.21%"
"03/22/2022","2,311.74","2,311.74","2,311.74","2,311.74","","0.80%"
"03/21/2022","2,293.42","2,293.42","2,293.42","2,293.42","","2.30%"
"03/18/2022","2,241.81","2,241.81","2,241.81","2,241.81","","0.59%"
"03/17/2022","2,228.62","2,228.62","2,228.62","2,228.62","","-0.15%"
"03/16/2022","2,231.88","2,231.88","2,231.88","2,231.88","","0.38%"
"03/15/2022","2,223.51","2,223.51","2,223.51","2,223.51","","0.51%"
"03/14/2022","2,212.28","2,212.28","2,212.28","2,212.28","","-1.64%"
"03/11/2022","2,249.07","2,249.07","2,249.07","2,249.07","","-1.10%"
"03/10/2022","2,274.04","2,274.04","2,274.04","2,274.04","","0.10%"
"03/09/2022","2,271.84","2,271.84","2,271.84","2,271.84","","0.09%"
"03/08/2022","2,269.80","2,269.80","2,269.80","2,269.80","","-1.62%"
"03/07/2022","2,307.09","2,307.09","2,307.09","2,307.09","","-0.67%"
"03/04/2022","2,322.61","2,322.61","2,322.61","2,322.61","","0.18%"
"03/03/2022","2,318.47","2,318.47","2,318.47","2,318.47","","1.66%"
"03/02/2022","2,280.68","2,280.68","2,280.68","2,280.68","","-0.74%"
"03/01/2022","2,297.62","2,297.62","2,297.62","2,297.62","","0.58%"
