"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","991.11","991.11","991.11","991.11","","-0.07%"
"12/29/2022","991.80","991.80","991.80","991.80","","-0.44%"
"12/28/2022","996.18","996.18","996.18","996.18","","0.90%"
"12/27/2022","987.31","987.31","987.31","987.31","","2.30%"
"12/26/2022","965.14","965.14","965.14","965.14","","-4.42%"
"12/23/2022","1,009.76","1,009.76","1,009.76","1,009.76","","-0.47%"
"12/22/2022","1,014.57","1,014.57","1,014.57","1,014.57","","0.28%"
"12/21/2022","1,011.78","1,011.78","1,011.78","1,011.78","","-0.39%"
"12/20/2022","1,015.71","1,015.71","1,015.71","1,015.71","","-1.66%"
"12/19/2022","1,032.85","1,032.85","1,032.85","1,032.85","","-1.55%"
"12/16/2022","1,049.13","1,049.13","1,049.13","1,049.13","","-0.51%"
"12/15/2022","1,054.46","1,054.46","1,054.46","1,054.46","","0.44%"
"12/14/2022","1,049.85","1,049.85","1,049.85","1,049.85","","-0.13%"
"12/13/2022","1,051.26","1,051.26","1,051.26","1,051.26","","1.59%"
"12/12/2022","1,034.78","1,034.78","1,034.78","1,034.78","","-2.77%"
"12/09/2022","1,064.21","1,064.21","1,064.21","1,064.21","","-0.04%"
"12/08/2022","1,064.60","1,064.60","1,064.60","1,064.60","","0.98%"
"12/07/2022","1,054.22","1,054.22","1,054.22","1,054.22","","-0.13%"
"12/06/2022","1,055.62","1,055.62","1,055.62","1,055.62","","-4.43%"
"12/05/2022","1,104.55","1,104.55","1,104.55","1,104.55","","1.51%"
"12/02/2022","1,088.14","1,088.14","1,088.14","1,088.14","","4.92%"
"12/01/2022","1,037.08","1,037.08","1,037.08","1,037.08","","-1.40%"
"11/30/2022","1,051.81","1,051.81","1,051.81","1,051.81","","2.18%"
"11/29/2022","1,029.39","1,029.39","1,029.39","1,029.39","","3.45%"
"11/28/2022","995.04","995.04","995.04","995.04","","3.94%"
"11/25/2022","957.34","957.34","957.34","957.34","","3.27%"
"11/24/2022","927.01","927.01","927.01","927.01","","0.22%"
"11/23/2022","924.96","924.96","924.96","924.96","","-1.06%"
"11/22/2022","934.87","934.87","934.87","934.87","","-1.21%"
"11/21/2022","946.35","946.35","946.35","946.35","","-1.27%"
"11/18/2022","958.50","958.50","958.50","958.50","","0.26%"
"11/17/2022","956.02","956.02","956.02","956.02","","3.72%"
"11/16/2022","921.74","921.74","921.74","921.74","","3.66%"
"11/15/2022","889.21","889.21","889.21","889.21","","-2.68%"
"11/14/2022","913.67","913.67","913.67","913.67","","-1.43%"
"11/11/2022","926.89","926.89","926.89","926.89","","0.77%"
"11/10/2022","919.85","919.85","919.85","919.85","","-4.38%"
"11/09/2022","961.94","961.94","961.94","961.94","","-0.17%"
"11/08/2022","963.56","963.56","963.56","963.56","","0.31%"
"11/07/2022","960.63","960.63","960.63","960.63","","-2.84%"
"11/04/2022","988.67","988.67","988.67","988.67","","-2.75%"
"11/03/2022","1,016.59","1,016.59","1,016.59","1,016.59","","0.04%"
"11/02/2022","1,016.23","1,016.23","1,016.23","1,016.23","","-1.32%"
"11/01/2022","1,029.84","1,029.84","1,029.84","1,029.84","","0.53%"
"10/31/2022","1,024.36","1,024.36","1,024.36","1,024.36","","-0.38%"
"10/28/2022","1,028.29","1,028.29","1,028.29","1,028.29","","0.01%"
"10/27/2022","1,028.21","1,028.21","1,028.21","1,028.21","","3.43%"
"10/26/2022","994.16","994.16","994.16","994.16","","-0.75%"
"10/25/2022","1,001.70","1,001.70","1,001.70","1,001.70","","1.13%"
"10/24/2022","990.48","990.48","990.48","990.48","","-3.76%"
"10/21/2022","1,029.17","1,029.17","1,029.17","1,029.17","","-4.36%"
"10/20/2022","1,076.11","1,076.11","1,076.11","1,076.11","","-0.39%"
"10/19/2022","1,080.37","1,080.37","1,080.37","1,080.37","","-0.52%"
"10/18/2022","1,085.98","1,085.98","1,085.98","1,085.98","","1.17%"
"10/17/2022","1,073.41","1,073.41","1,073.41","1,073.41","","-1.11%"
"10/14/2022","1,085.46","1,085.46","1,085.46","1,085.46","","0.87%"
"10/13/2022","1,076.09","1,076.09","1,076.09","1,076.09","","1.17%"
"10/12/2022","1,063.63","1,063.63","1,063.63","1,063.63","","3.01%"
"10/11/2022","1,032.51","1,032.51","1,032.51","1,032.51","","-3.44%"
"10/10/2022","1,069.28","1,069.28","1,069.28","1,069.28","","0.78%"
"10/07/2022","1,061.00","1,061.00","1,061.00","1,061.00","","-3.22%"
"10/06/2022","1,096.25","1,096.25","1,096.25","1,096.25","","-3.31%"
"10/05/2022","1,133.81","1,133.81","1,133.81","1,133.81","","2.80%"
"10/04/2022","1,102.97","1,102.97","1,102.97","1,102.97","","-0.71%"
"10/03/2022","1,110.89","1,110.89","1,110.89","1,110.89","","-4.36%"
"09/30/2022","1,161.53","1,161.53","1,161.53","1,161.53","","0.51%"
"09/29/2022","1,155.66","1,155.66","1,155.66","1,155.66","","-1.57%"
"09/28/2022","1,174.05","1,174.05","1,174.05","1,174.05","","-2.17%"
"09/27/2022","1,200.14","1,200.14","1,200.14","1,200.14","","-0.90%"
"09/26/2022","1,211.08","1,211.08","1,211.08","1,211.08","","-2.73%"
"09/23/2022","1,245.09","1,245.09","1,245.09","1,245.09","","-1.11%"
"09/22/2022","1,259.06","1,259.06","1,259.06","1,259.06","","0.27%"
"09/21/2022","1,255.64","1,255.64","1,255.64","1,255.64","","-0.84%"
"09/20/2022","1,266.26","1,266.26","1,266.26","1,266.26","","1.24%"
"09/19/2022","1,250.70","1,250.70","1,250.70","1,250.70","","-2.31%"
"09/16/2022","1,280.28","1,280.28","1,280.28","1,280.28","","-1.01%"
"09/15/2022","1,293.34","1,293.34","1,293.34","1,293.34","","0.16%"
"09/14/2022","1,291.28","1,291.28","1,291.28","1,291.28","","-0.58%"
"09/13/2022","1,298.77","1,298.77","1,298.77","1,298.77","","-0.22%"
"09/12/2022","1,301.68","1,301.68","1,301.68","1,301.68","","0.11%"
"09/09/2022","1,300.29","1,300.29","1,300.29","1,300.29","","1.21%"
"09/08/2022","1,284.76","1,284.76","1,284.76","1,284.76","","-0.14%"
"09/07/2022","1,286.57","1,286.57","1,286.57","1,286.57","","-2.67%"
"09/06/2022","1,321.93","1,321.93","1,321.93","1,321.93","","-0.03%"
"09/05/2022","1,322.38","1,322.38","1,322.38","1,322.38","","0.15%"
"08/31/2022","1,320.38","1,320.38","1,320.38","1,320.38","","0.18%"
"08/30/2022","1,318.00","1,318.00","1,318.00","1,318.00","","0.13%"
"08/29/2022","1,316.29","1,316.29","1,316.29","1,316.29","","-1.05%"
"08/26/2022","1,330.20","1,330.20","1,330.20","1,330.20","","-0.56%"
"08/25/2022","1,337.65","1,337.65","1,337.65","1,337.65","","1.20%"
"08/24/2022","1,321.81","1,321.81","1,321.81","1,321.81","","0.39%"
"08/23/2022","1,316.68","1,316.68","1,316.68","1,316.68","","0.78%"
"08/22/2022","1,306.54","1,306.54","1,306.54","1,306.54","","-0.82%"
"08/19/2022","1,317.35","0.00","0.00","0.00","","-0.64%"
"08/18/2022","1,325.84","1,325.84","1,325.84","1,325.84","","-0.04%"
"08/17/2022","1,326.42","1,326.42","1,326.42","1,326.42","","0.34%"
"08/16/2022","1,321.91","1,321.91","1,321.91","1,321.91","","0.21%"
"08/15/2022","1,319.20","1,319.20","1,319.20","1,319.20","","0.91%"
"08/12/2022","1,307.24","1,307.24","1,307.24","1,307.24","","0.89%"
"08/11/2022","1,295.72","1,295.72","1,295.72","1,295.72","","-0.60%"
"08/10/2022","1,303.49","1,303.49","1,303.49","1,303.49","","-0.19%"
"08/09/2022","1,306.03","1,306.03","1,306.03","1,306.03","","0.38%"
"08/08/2022","1,301.11","1,301.11","1,301.11","1,301.11","","0.33%"
"08/05/2022","1,296.85","1,296.85","1,296.85","1,296.85","","-0.19%"
"08/04/2022","1,299.37","1,299.37","1,299.37","1,299.37","","0.39%"
"08/03/2022","1,294.26","1,294.26","1,294.26","1,294.26","","0.51%"
"08/02/2022","1,287.69","1,287.69","1,287.69","1,287.69","","0.92%"
"08/01/2022","1,275.99","1,275.99","1,275.99","1,275.99","","2.30%"
"07/29/2022","1,247.26","1,247.26","1,247.26","1,247.26","","-0.72%"
"07/28/2022","1,256.33","1,256.33","1,256.33","1,256.33","","1.38%"
"07/27/2022","1,239.18","1,239.18","1,239.18","1,239.18","","0.31%"
"07/26/2022","1,235.29","1,235.29","1,235.29","1,235.29","","-0.51%"
"07/25/2022","1,241.65","1,241.65","1,241.65","1,241.65","","-0.43%"
"07/22/2022","1,246.95","1,246.95","1,246.95","1,246.95","","-0.61%"
"07/21/2022","1,254.63","1,254.63","1,254.63","1,254.63","","0.62%"
"07/20/2022","1,246.94","1,246.94","1,246.94","1,246.94","","1.30%"
"07/19/2022","1,230.90","1,230.90","1,230.90","1,230.90","","-0.08%"
"07/18/2022","1,231.90","1,231.90","1,231.90","1,231.90","","-0.49%"
"07/15/2022","1,238.00","1,238.00","1,238.00","1,238.00","","-0.19%"
"07/14/2022","1,240.35","1,240.35","1,240.35","1,240.35","","0.65%"
"07/13/2022","1,232.34","1,232.34","1,232.34","1,232.34","","-0.31%"
"07/12/2022","1,236.22","1,236.22","1,236.22","1,236.22","","1.21%"
"07/11/2022","1,221.48","1,221.48","1,221.48","1,221.48","","-1.46%"
"07/08/2022","1,239.52","1,239.52","1,239.52","1,239.52","","0.91%"
"07/07/2022","1,228.34","1,228.34","1,228.34","1,228.34","","1.92%"
"07/06/2022","1,205.15","1,205.15","1,205.15","1,205.15","","-2.97%"
"07/05/2022","1,242.06","1,242.06","1,242.06","1,242.06","","-1.62%"
"07/04/2022","1,262.50","1,262.50","1,262.50","1,262.50","","-0.42%"
"07/01/2022","1,267.78","1,267.78","1,267.78","1,267.78","","0.10%"
"06/30/2022","1,266.50","1,266.50","1,266.50","1,266.50","","-1.90%"
"06/29/2022","1,291.09","1,291.09","1,291.09","1,291.09","","0.11%"
"06/28/2022","1,289.65","1,289.65","1,289.65","1,289.65","","0.75%"
"06/27/2022","1,280.07","1,280.07","1,280.07","1,280.07","","1.82%"
"06/24/2022","1,257.24","1,257.24","1,257.24","1,257.24","","-0.20%"
"06/23/2022","1,259.75","1,259.75","1,259.75","1,259.75","","1.61%"
"06/22/2022","1,239.78","1,239.78","1,239.78","1,239.78","","-0.32%"
"06/21/2022","1,243.77","1,243.77","1,243.77","1,243.77","","-1.00%"
"06/20/2022","1,256.29","1,256.29","1,256.29","1,256.29","","-3.08%"
"06/17/2022","1,296.15","1,296.15","1,296.15","1,296.15","","-1.43%"
"06/16/2022","1,314.91","1,314.91","1,314.91","1,314.91","","2.09%"
"06/15/2022","1,288.01","1,288.01","1,288.01","1,288.01","","-1.14%"
"06/14/2022","1,302.88","1,302.88","1,302.88","1,302.88","","-0.32%"
"06/13/2022","1,307.12","1,307.12","1,307.12","1,307.12","","-4.91%"
"06/10/2022","1,374.65","1,374.65","1,374.65","1,374.65","","-1.55%"
"06/09/2022","1,396.25","1,396.25","1,396.25","1,396.25","","0.12%"
"06/08/2022","1,394.55","1,394.55","1,394.55","1,394.55","","1.25%"
"06/07/2022","1,377.33","1,377.33","1,377.33","1,377.33","","0.04%"
"06/06/2022","1,376.77","1,376.77","1,376.77","1,376.77","","-0.06%"
"06/03/2022","1,377.64","1,377.64","1,377.64","1,377.64","","0.10%"
"06/02/2022","1,376.21","1,376.21","1,376.21","1,376.21","","-0.98%"
"06/01/2022","1,389.79","1,389.79","1,389.79","1,389.79","","0.54%"
"05/31/2022","1,382.28","1,382.28","1,382.28","1,382.28","","-0.39%"
"05/30/2022","1,387.75","1,387.75","1,387.75","1,387.75","","0.64%"
"05/27/2022","1,378.96","1,378.96","1,378.96","1,378.96","","1.64%"
"05/26/2022","1,356.68","1,356.68","1,356.68","1,356.68","","0.02%"
"05/25/2022","1,356.38","1,356.38","1,356.38","1,356.38","","2.94%"
"05/24/2022","1,317.66","1,317.66","1,317.66","1,317.66","","1.30%"
"05/23/2022","1,300.69","1,300.69","1,300.69","1,300.69","","-1.88%"
"05/20/2022","1,325.60","1,325.60","1,325.60","1,325.60","","-0.09%"
"05/19/2022","1,326.84","1,326.84","1,326.84","1,326.84","","0.34%"
"05/18/2022","1,322.30","1,322.30","1,322.30","1,322.30","","1.08%"
"05/17/2022","1,308.21","1,308.21","1,308.21","1,308.21","","5.08%"
"05/16/2022","1,244.94","1,244.94","1,244.94","1,244.94","","-0.98%"
"05/13/2022","1,257.23","1,257.23","1,257.23","1,257.23","","-4.40%"
"05/12/2022","1,315.08","1,315.08","1,315.08","1,315.08","","-5.14%"
"05/11/2022","1,386.31","1,386.31","1,386.31","1,386.31","","0.36%"
"05/10/2022","1,381.30","1,381.30","1,381.30","1,381.30","","1.85%"
"05/09/2022","1,356.19","1,356.19","1,356.19","1,356.19","","-4.24%"
"05/06/2022","1,416.30","1,416.30","1,416.30","1,416.30","","-2.20%"
"05/05/2022","1,448.15","1,448.15","1,448.15","1,448.15","","0.91%"
"05/04/2022","1,435.08","1,435.08","1,435.08","1,435.08","","-1.81%"
"04/29/2022","1,461.56","1,461.56","1,461.56","1,461.56","","1.42%"
"04/28/2022","1,441.07","1,441.07","1,441.07","1,441.07","","-0.24%"
"04/27/2022","1,444.54","1,444.54","1,444.54","1,444.54","","0.74%"
"04/26/2022","1,434.00","1,434.00","1,434.00","1,434.00","","2.29%"
"04/25/2022","1,401.96","1,401.96","1,401.96","1,401.96","","-5.17%"
"04/22/2022","1,478.44","1,478.44","1,478.44","1,478.44","","0.28%"
"04/21/2022","1,474.25","1,474.25","1,474.25","1,474.25","","-0.81%"
"04/20/2022","1,486.25","1,486.25","1,486.25","1,486.25","","-1.00%"
"04/19/2022","1,501.29","1,501.29","1,501.29","1,501.29","","-1.79%"
"04/18/2022","1,528.72","1,528.72","1,528.72","1,528.72","","-1.74%"
"04/15/2022","1,555.72","1,555.72","1,555.72","1,555.72","","-1.49%"
"04/14/2022","1,579.26","1,579.26","1,579.26","1,579.26","","-0.42%"
"04/13/2022","1,585.85","1,585.85","1,585.85","1,585.85","","1.77%"
"04/12/2022","1,558.26","1,558.26","1,558.26","1,558.26","","-1.58%"
"04/08/2022","1,583.21","1,583.21","1,583.21","1,583.21","","-1.21%"
