"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","477.25","477.25","477.25","477.25","","4.42%"
"12/30/2022","457.05","457.05","457.05","457.05","","-0.22%"
"12/29/2022","458.05","458.05","458.05","458.05","","-0.40%"
"12/28/2022","459.90","459.90","459.90","459.90","","0.96%"
"12/27/2022","455.54","455.54","455.54","455.54","","2.44%"
"12/26/2022","444.67","444.67","444.67","444.67","","-4.28%"
"12/23/2022","464.53","464.53","464.53","464.53","","-0.56%"
"12/22/2022","467.16","467.16","467.16","467.16","","0.08%"
"12/21/2022","466.77","466.77","466.77","466.77","","-0.53%"
"12/20/2022","469.26","469.26","469.26","469.26","","-1.61%"
"12/19/2022","476.96","476.96","476.96","476.96","","-1.55%"
"12/16/2022","484.46","484.46","484.46","484.46","","-0.89%"
"12/15/2022","488.80","488.80","488.80","488.80","","-0.12%"
"12/14/2022","489.37","489.37","489.37","489.37","","-0.10%"
"12/13/2022","489.87","489.87","489.87","489.87","","1.66%"
"12/12/2022","481.87","481.87","481.87","481.87","","-3.54%"
"12/09/2022","499.53","499.53","499.53","499.53","","-0.45%"
"12/08/2022","501.78","501.78","501.78","501.78","","0.08%"
"12/07/2022","501.40","501.40","501.40","501.40","","0.21%"
"12/06/2022","500.37","500.37","500.37","500.37","","-4.42%"
"12/05/2022","523.49","523.49","523.49","523.49","","1.46%"
"12/02/2022","515.97","515.97","515.97","515.97","","5.17%"
"12/01/2022","490.62","490.62","490.62","490.62","","-2.22%"
"11/30/2022","501.75","501.75","501.75","501.75","","2.22%"
"11/29/2022","490.84","490.84","490.84","490.84","","4.30%"
"11/28/2022","470.61","470.61","470.61","470.61","","3.63%"
"11/25/2022","454.14","454.14","454.14","454.14","","3.74%"
"11/24/2022","437.77","437.77","437.77","437.77","","0.71%"
"11/23/2022","434.67","434.67","434.67","434.67","","-1.65%"
"11/22/2022","441.94","441.94","441.94","441.94","","-1.85%"
"11/21/2022","450.27","450.27","450.27","450.27","","-1.48%"
"11/18/2022","457.04","457.04","457.04","457.04","","0.19%"
"11/17/2022","456.18","456.18","456.18","456.18","","4.35%"
"11/16/2022","437.17","437.17","437.17","437.17","","2.81%"
"11/15/2022","425.23","425.23","425.23","425.23","","-1.26%"
"11/14/2022","430.64","430.64","430.64","430.64","","-0.48%"
"11/11/2022","432.72","432.72","432.72","432.72","","0.80%"
"11/10/2022","429.29","429.29","429.29","429.29","","-4.17%"
"11/09/2022","447.96","447.96","447.96","447.96","","-0.48%"
"11/08/2022","450.14","450.14","450.14","450.14","","-0.37%"
"11/07/2022","451.80","451.80","451.80","451.80","","-2.35%"
"11/04/2022","462.68","462.68","462.68","462.68","","-2.74%"
"11/03/2022","475.72","475.72","475.72","475.72","","-0.08%"
"11/02/2022","476.11","476.11","476.11","476.11","","-1.33%"
"11/01/2022","482.55","482.55","482.55","482.55","","0.60%"
"10/31/2022","479.65","479.65","479.65","479.65","","-0.48%"
"10/28/2022","481.97","481.97","481.97","481.97","","-0.16%"
"10/27/2022","482.76","482.76","482.76","482.76","","2.90%"
"10/26/2022","469.16","469.16","469.16","469.16","","-1.13%"
"10/25/2022","474.53","474.53","474.53","474.53","","1.00%"
"10/24/2022","469.84","469.84","469.84","469.84","","-3.61%"
"10/21/2022","487.42","487.42","487.42","487.42","","-3.97%"
"10/20/2022","507.59","507.59","507.59","507.59","","-0.36%"
"10/19/2022","509.42","509.42","509.42","509.42","","-0.83%"
"10/18/2022","513.70","513.70","513.70","513.70","","1.50%"
"10/17/2022","506.12","506.12","506.12","506.12","","-1.43%"
"10/14/2022","513.47","513.47","513.47","513.47","","0.27%"
"10/13/2022","512.09","512.09","512.09","512.09","","1.23%"
"10/12/2022","505.89","505.89","505.89","505.89","","2.54%"
"10/11/2022","493.36","493.36","493.36","493.36","","-3.15%"
"10/10/2022","509.41","509.41","509.41","509.41","","0.41%"
"10/07/2022","507.31","507.31","507.31","507.31","","-2.32%"
"10/06/2022","519.38","519.38","519.38","519.38","","-3.05%"
"10/05/2022","535.71","535.71","535.71","535.71","","2.89%"
"10/04/2022","520.64","520.64","520.64","520.64","","-0.94%"
"10/03/2022","525.58","525.58","525.58","525.58","","-3.66%"
"09/30/2022","545.57","545.57","545.57","545.57","","0.36%"
"09/29/2022","543.59","543.59","543.59","543.59","","-1.63%"
"09/28/2022","552.59","552.59","552.59","552.59","","-2.41%"
"09/27/2022","566.21","566.21","566.21","566.21","","-1.09%"
"09/26/2022","572.47","572.47","572.47","572.47","","-2.51%"
"09/23/2022","587.18","587.18","587.18","587.18","","-1.24%"
"09/22/2022","594.57","594.57","594.57","594.57","","0.15%"
"09/21/2022","593.66","593.66","593.66","593.66","","-0.61%"
"09/20/2022","597.30","597.30","597.30","597.30","","1.20%"
"09/19/2022","590.19","590.19","590.19","590.19","","-2.08%"
"09/16/2022","602.72","602.72","602.72","602.72","","-0.69%"
"09/15/2022","606.91","606.91","606.91","606.91","","0.36%"
"09/14/2022","604.71","604.71","604.71","604.71","","-0.52%"
"09/13/2022","607.89","607.89","607.89","607.89","","-0.46%"
"09/12/2022","610.67","610.67","610.67","610.67","","-0.03%"
"09/09/2022","610.88","610.88","610.88","610.88","","1.36%"
"09/08/2022","602.68","602.68","602.68","602.68","","0.01%"
"09/07/2022","602.60","602.60","602.60","602.60","","-2.54%"
"09/06/2022","618.29","618.29","618.29","618.29","","-0.11%"
"09/05/2022","618.99","618.99","618.99","618.99","","0.55%"
"08/31/2022","615.58","615.58","615.58","615.58","","-0.07%"
"08/30/2022","616.00","616.00","616.00","616.00","","0.23%"
"08/29/2022","614.56","614.56","614.56","614.56","","-1.25%"
"08/26/2022","622.34","622.34","622.34","622.34","","-1.09%"
"08/25/2022","629.23","629.23","629.23","629.23","","1.21%"
"08/24/2022","621.69","621.69","621.69","621.69","","0.41%"
"08/23/2022","619.17","619.17","619.17","619.17","","0.89%"
"08/22/2022","613.71","613.71","613.71","613.71","","-1.32%"
"08/19/2022","621.95","0.00","0.00","0.00","","-0.64%"
"08/18/2022","625.93","625.93","625.93","625.93","","0.12%"
"08/17/2022","625.16","625.16","625.16","625.16","","0.66%"
"08/16/2022","621.06","621.06","621.06","621.06","","0.27%"
"08/15/2022","619.36","619.36","619.36","619.36","","0.31%"
"08/12/2022","617.46","617.46","617.46","617.46","","0.95%"
"08/11/2022","611.66","611.66","611.66","611.66","","-0.48%"
"08/10/2022","614.58","614.58","614.58","614.58","","-0.11%"
"08/09/2022","615.25","615.25","615.25","615.25","","0.50%"
"08/08/2022","612.19","612.19","612.19","612.19","","0.04%"
"08/05/2022","611.92","611.92","611.92","611.92","","-0.30%"
"08/04/2022","613.78","613.78","613.78","613.78","","0.41%"
"08/03/2022","611.29","611.29","611.29","611.29","","0.50%"
"08/02/2022","608.25","608.25","608.25","608.25","","1.20%"
"08/01/2022","601.06","601.06","601.06","601.06","","2.56%"
"07/29/2022","586.08","586.08","586.08","586.08","","-0.87%"
"07/28/2022","591.21","591.21","591.21","591.21","","1.39%"
"07/27/2022","583.08","583.08","583.08","583.08","","0.33%"
"07/26/2022","581.17","581.17","581.17","581.17","","-0.45%"
"07/25/2022","583.82","583.82","583.82","583.82","","-0.13%"
"07/22/2022","584.56","584.56","584.56","584.56","","-0.89%"
"07/21/2022","589.83","589.83","589.83","589.83","","0.42%"
"07/20/2022","587.39","587.39","587.39","587.39","","1.04%"
"07/19/2022","581.35","581.35","581.35","581.35","","0.13%"
"07/18/2022","580.59","580.59","580.59","580.59","","-0.84%"
"07/15/2022","585.48","585.48","585.48","585.48","","-0.09%"
"07/14/2022","586.00","586.00","586.00","586.00","","0.80%"
"07/13/2022","581.35","581.35","581.35","581.35","","-0.48%"
"07/12/2022","584.18","584.18","584.18","584.18","","0.90%"
"07/11/2022","578.98","578.98","578.98","578.98","","-0.99%"
"07/08/2022","584.76","584.76","584.76","584.76","","1.19%"
"07/07/2022","577.91","577.91","577.91","577.91","","2.43%"
"07/06/2022","564.19","564.19","564.19","564.19","","-2.81%"
"07/05/2022","580.51","580.51","580.51","580.51","","-1.87%"
"07/04/2022","591.56","591.56","591.56","591.56","","-0.13%"
"07/01/2022","592.31","592.31","592.31","592.31","","-0.04%"
"06/30/2022","592.54","592.54","592.54","592.54","","-1.57%"
"06/29/2022","601.97","601.97","601.97","601.97","","0.04%"
"06/28/2022","601.71","601.71","601.71","601.71","","-0.16%"
"06/27/2022","602.66","602.66","602.66","602.66","","2.14%"
"06/24/2022","590.01","590.01","590.01","590.01","","0.02%"
"06/23/2022","589.91","589.91","589.91","589.91","","0.80%"
"06/22/2022","585.25","585.25","585.25","585.25","","-0.03%"
"06/21/2022","585.45","585.45","585.45","585.45","","-0.58%"
"06/20/2022","588.85","588.85","588.85","588.85","","-2.90%"
"06/17/2022","606.42","606.42","606.42","606.42","","-0.82%"
"06/16/2022","611.46","611.46","611.46","611.46","","1.86%"
"06/15/2022","600.31","600.31","600.31","600.31","","-1.61%"
"06/14/2022","610.16","610.16","610.16","610.16","","-0.90%"
"06/13/2022","615.72","615.72","615.72","615.72","","-4.30%"
"06/10/2022","643.39","643.39","643.39","643.39","","-0.99%"
"06/09/2022","649.84","649.84","649.84","649.84","","0.27%"
"06/08/2022","648.06","648.06","648.06","648.06","","0.95%"
"06/07/2022","641.99","641.99","641.99","641.99","","-0.07%"
"06/06/2022","642.42","642.42","642.42","642.42","","0.11%"
"06/03/2022","641.69","641.69","641.69","641.69","","-0.29%"
"06/02/2022","643.56","643.56","643.56","643.56","","-1.32%"
"06/01/2022","652.15","652.15","652.15","652.15","","0.51%"
"05/31/2022","648.83","648.83","648.83","648.83","","0.18%"
"05/30/2022","647.68","647.68","647.68","647.68","","0.63%"
"05/27/2022","643.62","643.62","643.62","643.62","","0.96%"
"05/26/2022","637.53","637.53","637.53","637.53","","0.09%"
"05/25/2022","636.98","636.98","636.98","636.98","","1.99%"
"05/24/2022","624.58","624.58","624.58","624.58","","1.06%"
"05/23/2022","618.01","618.01","618.01","618.01","","-1.86%"
"05/20/2022","629.70","629.70","629.70","629.70","","-0.35%"
"05/19/2022","631.92","631.92","631.92","631.92","","0.60%"
"05/18/2022","628.13","628.13","628.13","628.13","","1.20%"
"05/17/2022","620.71","620.71","620.71","620.71","","4.44%"
"05/16/2022","594.35","594.35","594.35","594.35","","-0.99%"
"05/13/2022","600.28","600.28","600.28","600.28","","-3.84%"
"05/12/2022","624.26","624.26","624.26","624.26","","-4.77%"
"05/11/2022","655.56","655.56","655.56","655.56","","-0.39%"
"05/10/2022","658.12","658.12","658.12","658.12","","1.60%"
"05/09/2022","647.74","647.74","647.74","647.74","","-3.31%"
"05/06/2022","669.88","669.88","669.88","669.88","","-1.93%"
"05/05/2022","683.07","683.07","683.07","683.07","","1.08%"
"05/04/2022","675.77","675.77","675.77","675.77","","-1.87%"
"04/29/2022","688.62","688.62","688.62","688.62","","1.22%"
"04/28/2022","680.30","680.30","680.30","680.30","","-0.63%"
"04/27/2022","684.59","684.59","684.59","684.59","","0.80%"
"04/26/2022","679.17","679.17","679.17","679.17","","2.20%"
"04/25/2022","664.54","664.54","664.54","664.54","","-4.61%"
"04/22/2022","696.66","696.66","696.66","696.66","","0.65%"
"04/21/2022","692.19","692.19","692.19","692.19","","-1.10%"
"04/20/2022","699.88","699.88","699.88","699.88","","-0.81%"
"04/19/2022","705.61","705.61","705.61","705.61","","-1.44%"
"04/18/2022","715.90","715.90","715.90","715.90","","-1.94%"
"04/15/2022","730.09","730.09","730.09","730.09","","-1.69%"
"04/14/2022","742.65","742.65","742.65","742.65","","-0.82%"
"04/13/2022","748.79","748.79","748.79","748.79","","1.50%"
"04/12/2022","737.69","737.69","737.69","737.69","","-1.67%"
"04/08/2022","750.23","750.23","750.23","750.23","","-0.72%"
"04/07/2022","755.66","755.66","755.66","755.66","","-1.55%"
"04/06/2022","767.53","767.53","767.53","767.53","","-0.27%"
"04/05/2022","769.64","769.64","769.64","769.64","","-0.21%"
"04/04/2022","771.28","771.28","771.28","771.28","","0.92%"
"04/01/2022","764.25","764.25","764.25","764.25","","1.62%"
"03/31/2022","752.06","752.06","752.06","752.06","","0.04%"
"03/30/2022","751.79","751.79","751.79","751.79","","-0.98%"
"03/29/2022","759.23","759.23","759.23","759.23","","0.87%"
"03/28/2022","752.69","752.69","752.69","752.69","","-1.41%"
"03/25/2022","763.44","763.44","763.44","763.44","","-0.03%"
"03/24/2022","763.68","763.68","763.68","763.68","","-0.57%"
"03/23/2022","768.09","768.09","768.09","768.09","","-0.28%"
"03/22/2022","770.22","770.22","770.22","770.22","","0.92%"
