"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2022","987.29","998.55","999.04","967.35","625.55K","-0.24%"
"12/20/2022","989.67","1,007.12","1,009.84","974.15","854.61K","-1.98%"
"12/19/2022","1,009.71","1,022.79","1,038.50","1,009.71","770.36K","-1.29%"
"12/16/2022","1,022.92","1,015.74","1,033.26","1,013.79","721.72K","-0.10%"
"12/15/2022","1,023.93","1,012.91","1,028.35","1,012.74","605.83K","0.91%"
"12/14/2022","1,014.73","1,013.40","1,027.31","1,011.46","608.34K","0.19%"
"12/13/2022","1,012.84","996.41","1,012.84","985.82","662.65K","1.85%"
"12/12/2022","994.44","1,021.57","1,027.23","994.44","739.30K","-2.12%"
"12/09/2022","1,015.94","1,017.68","1,022.90","1,002.71","663.96K","0.39%"
"12/08/2022","1,011.96","1,005.24","1,034.23","1,003.63","790.27K","1.91%"
"12/07/2022","993.03","999.39","1,010.74","984.58","714.14K","-1.02%"
"12/06/2022","1,003.22","1,046.12","1,047.37","1,003.22","1.22M","-4.33%"
"12/05/2022","1,048.61","1,035.28","1,056.28","1,035.28","974.55K","1.65%"
"12/02/2022","1,031.60","984.36","1,031.60","981.31","925.92K","4.33%"
"12/01/2022","988.74","1,004.65","1,017.01","986.22","1.13M","-0.42%"
"11/30/2022","992.89","979.02","992.89","966.79","872.84K","2.03%"
"11/29/2022","973.14","954.38","973.14","941.80","999.95K","2.49%"
"11/28/2022","949.53","924.59","949.88","923.78","777.82K","3.87%"
"11/25/2022","914.13","896.40","914.13","896.32","491.23K","2.87%"
"11/24/2022","888.65","881.72","890.26","873.06","424.56K","0.17%"
"11/23/2022","887.18","890.29","900.63","883.13","436.21K","-0.87%"
"11/22/2022","894.97","899.68","926.74","889.14","890.23K","-0.55%"
"11/21/2022","899.95","910.22","912.09","895.57","466.07K","-0.87%"
"11/18/2022","907.85","902.64","912.03","877.77","743.00K","0.39%"
"11/17/2022","904.30","879.20","907.37","879.20","530.43K","3.00%"
"11/16/2022","878.00","820.30","878.00","806.34","839.33K","3.88%"
"11/15/2022","845.18","860.85","864.24","834.94","501.13K","-3.78%"
"11/14/2022","878.35","890.69","890.69","862.55","523.18K","-2.02%"
"11/11/2022","896.47","900.68","911.21","893.03","577.15K","0.41%"
"11/10/2022","892.85","925.00","925.00","883.38","564.90K","-4.58%"
"11/09/2022","935.69","939.11","950.26","927.90","426.14K","-0.24%"
"11/08/2022","937.96","915.55","938.50","910.56","470.29K","0.58%"
"11/07/2022","932.52","956.36","961.86","930.16","458.81K","-3.04%"
"11/04/2022","961.80","976.02","977.36","941.88","607.58K","-2.75%"
"11/03/2022","988.99","977.78","993.72","976.77","358.31K","-0.15%"
"11/02/2022","990.52","1,001.54","1,003.61","987.55","422.49K","-1.11%"
"11/01/2022","1,001.63","994.94","1,012.10","994.94","514.52K","0.83%"
"10/31/2022","993.43","995.10","999.45","968.59","512.95K","-0.38%"
"10/28/2022","997.25","1,006.19","1,014.19","995.03","447.97K","-0.03%"
"10/27/2022","997.53","959.06","997.53","954.53","497.13K","4.07%"
"10/26/2022","958.55","966.36","970.28","948.01","309.10K","-0.42%"
"10/25/2022","962.59","945.81","977.96","923.07","596.41K","1.34%"
"10/24/2022","949.84","986.00","987.94","939.27","462.43K","-3.67%"
"10/21/2022","986.04","1,030.71","1,030.71","978.57","551.35K","-4.23%"
"10/20/2022","1,029.55","1,030.87","1,036.55","1,021.16","303.86K","-0.44%"
"10/19/2022","1,034.07","1,039.95","1,041.35","1,026.63","292.07K","-0.40%"
"10/18/2022","1,038.26","1,043.04","1,048.07","1,032.65","404.11K","0.90%"
"10/17/2022","1,029.04","1,027.64","1,029.04","1,008.70","353.98K","-0.66%"
"10/14/2022","1,035.83","1,039.14","1,044.00","1,030.48","439.00K","1.28%"
"10/13/2022","1,022.70","1,009.73","1,022.70","999.79","330.72K","1.29%"
"10/12/2022","1,009.64","977.28","1,013.45","973.74","458.57K","3.26%"
"10/11/2022","977.75","1,009.77","1,009.77","966.65","500.38K","-3.75%"
"10/10/2022","1,015.88","996.83","1,024.97","986.07","465.61K","0.43%"
"10/07/2022","1,011.54","1,033.13","1,035.02","999.06","690.03K","-3.87%"
"10/06/2022","1,052.24","1,089.11","1,091.05","1,049.77","417.45K","-3.26%"
"10/05/2022","1,087.69","1,077.99","1,095.22","1,077.17","336.91K","2.45%"
"10/04/2022","1,061.71","1,084.51","1,087.71","1,056.28","436.84K","-0.94%"
"10/03/2022","1,071.75","1,114.66","1,116.24","1,067.50","417.30K","-4.57%"
"09/30/2022","1,123.09","1,111.95","1,127.21","1,091.90","527.48K","0.34%"
"09/29/2022","1,119.26","1,141.10","1,150.82","1,119.26","353.69K","-1.36%"
"09/28/2022","1,134.72","1,148.21","1,152.31","1,133.45","410.03K","-1.76%"
"09/27/2022","1,155.05","1,163.54","1,167.47","1,154.02","355.77K","-0.46%"
"09/26/2022","1,160.42","1,175.23","1,178.43","1,146.87","608.44K","-2.83%"
"09/23/2022","1,194.23","1,205.77","1,208.80","1,192.55","363.20K","-1.03%"
"09/22/2022","1,206.65","1,191.11","1,206.65","1,186.80","375.35K","0.46%"
"09/21/2022","1,201.16","1,205.48","1,208.31","1,196.19","279.43K","-0.86%"
"09/20/2022","1,211.57","1,204.70","1,211.57","1,190.39","363.39K","1.14%"
"09/19/2022","1,197.92","1,225.92","1,227.58","1,194.71","548.28K","-2.36%"
"09/16/2022","1,226.93","1,239.25","1,242.17","1,223.55","508.99K","-1.21%"
"09/15/2022","1,241.94","1,246.82","1,248.35","1,240.31","336.26K","0.17%"
"09/14/2022","1,239.87","1,226.25","1,240.73","1,225.18","493.34K","-0.43%"
"09/13/2022","1,245.21","1,247.94","1,249.06","1,240.25","355.60K","-0.06%"
"09/12/2022","1,245.90","1,253.58","1,255.25","1,245.90","328.71K","-0.08%"
"09/09/2022","1,246.87","1,241.38","1,246.87","1,224.63","479.66K","1.07%"
"09/08/2022","1,233.68","1,249.78","1,249.94","1,233.68","458.18K","-0.60%"
"09/07/2022","1,241.18","1,273.23","1,273.65","1,241.18","683.31K","-2.68%"
"09/06/2022","1,275.32","1,276.17","1,283.18","1,275.32","461.45K","0.04%"
"09/05/2022","1,274.76","1,276.44","1,281.14","1,271.73","396.88K","-0.15%"
"08/31/2022","1,276.72","1,268.61","1,279.94","1,267.13","391.76K","0.33%"
