"Date","Price","Open","High","Low","Vol.","Change %"
"12/16/2022","281.99","276.94","283.44","275.10","12.11K","1.08%"
"12/15/2022","278.99","279.91","283.43","276.37","10.07K","-0.61%"
"12/14/2022","280.70","275.56","289.71","275.56","13.41K","-0.25%"
"12/13/2022","281.41","279.26","281.93","268.33","16.01K","0.67%"
"12/12/2022","279.53","295.67","297.56","279.53","18.25K","-3.54%"
"12/09/2022","289.78","286.61","290.82","279.38","15.11K","1.93%"
"12/08/2022","284.28","273.35","286.35","272.30","12.94K","4.08%"
"12/07/2022","273.14","281.45","282.55","270.42","15.01K","-2.94%"
"12/06/2022","281.41","295.06","298.73","280.58","22.19K","-3.79%"
"12/05/2022","292.50","286.99","295.85","286.99","16.35K","2.04%"
"12/02/2022","286.66","281.60","287.03","275.40","13.05K","2.56%"
"12/01/2022","279.50","278.89","288.71","277.17","18.14K","0.91%"
"11/30/2022","276.97","275.56","279.69","263.53","12.40K","1.15%"
"11/29/2022","273.83","271.58","278.82","265.72","15.35K","1.42%"
"11/28/2022","270.00","255.15","270.07","255.03","10.61K","5.96%"
"11/25/2022","254.82","238.46","254.89","238.46","8.10K","4.99%"
"11/24/2022","242.72","236.85","243.14","233.99","8.58K","1.25%"
"11/23/2022","239.72","246.36","249.24","239.68","9.73K","-2.26%"
"11/22/2022","245.26","238.43","254.79","237.63","14.12K","1.17%"
"11/21/2022","242.42","230.34","242.56","227.17","9.83K","3.46%"
"11/18/2022","234.31","225.69","236.53","219.37","12.76K","3.02%"
"11/17/2022","227.45","221.33","230.15","211.80","16.41K","3.66%"
"11/16/2022","219.42","204.95","219.49","195.79","21.69K","4.94%"
"11/15/2022","209.10","222.28","222.28","207.10","10.22K","-6.14%"
"11/14/2022","222.79","234.69","234.69","220.22","8.54K","-5.22%"
"11/11/2022","235.06","240.20","243.81","232.32","21.92K","-3.80%"
"11/10/2022","244.34","254.51","259.21","243.35","7.30K","-5.86%"
"11/09/2022","259.55","257.36","264.36","251.76","5.09K","1.00%"
"11/08/2022","256.97","252.17","256.97","246.99","8.23K","0.14%"
"11/07/2022","256.62","270.85","272.23","256.41","11.14K","-5.66%"
"11/04/2022","272.02","284.39","284.93","267.59","10.82K","-4.46%"
"11/03/2022","284.71","285.49","288.66","283.00","4.37K","-0.71%"
"11/02/2022","286.76","290.22","292.14","285.90","4.40K","-1.18%"
"11/01/2022","290.19","284.59","291.60","284.22","6.16K","1.92%"
"10/31/2022","284.73","287.38","289.69","279.22","6.76K","-0.88%"
"10/28/2022","287.25","288.14","294.48","287.04","6.56K","-0.31%"
"10/27/2022","288.14","270.09","288.26","264.55","9.11K","4.61%"
"10/26/2022","275.43","271.95","280.38","271.53","6.07K","-0.67%"
"10/25/2022","277.29","276.80","285.04","268.35","14.04K","-1.15%"
